City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
661,Victoria Point,AU,82.18,scattered clouds,-27.5833,153.3,Bay Retreat Motel
666,Raymond Terrace,AU,77.29,few clouds,-32.75,151.75,Sleepy Hill Motor Inn
667,Honiara,SB,87.21,overcast clouds,-9.4333,159.95,Heritage Park Hotel
670,Iracoubo,GF,76.69,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
673,Antalaha,MG,76.28,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
684,Bintulu,MY,79.21,few clouds,3.1667,113.0333,900 Boutique INN
685,Labuhan,ID,82.49,broken clouds,-6.8844,112.2051,DoubleFAG
687,Makakilo City,US,82.72,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
700,Singleton,AU,76.78,scattered clouds,-32.5667,151.1833,Quest Singleton
704,Mamallapuram,IN,80.06,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
714,Kiunga,PG,91.18,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
717,Kununurra,AU,85.98,scattered clouds,-15.7667,128.7333,Hotel Kununurra
718,Ugoofaaru,MV,81.03,overcast clouds,5.6667,73.0,Ungoofaaru Inn
719,Grand Gaube,MU,79.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
723,Kanniyakumari,IN,77.81,broken clouds,8.0833,77.5667,Sparsa
724,Tiarei,PF,86.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
734,Santiago De Cuba,CU,76.51,scattered clouds,20.0247,-75.8219,Cubanacan San Felix
742,Mareeba,AU,84.67,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
751,Lorengau,PG,84.31,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
754,Morant Bay,JM,78.42,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
763,Gizo,SB,86.2,overcast clouds,-8.103,156.8419,Imagination Island
