City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
150,Bredasdorp,ZA,-34.5322,20.0403,67.28,88,27,14.97,scattered clouds
151,Broken Hill,AU,-31.95,141.4333,78.51,31,40,14.97,scattered clouds
152,Harper,LR,4.375,-7.7169,78.98,86,44,5.75,light rain
153,Chokurdakh,RU,70.6333,147.9167,-31.81,100,100,1.97,overcast clouds
154,Chipinge,ZW,-20.1883,32.6236,61.25,98,80,3.67,light rain
155,Rundu,NA,-17.9333,19.7667,65.16,97,91,6.31,light rain
156,Rawson,AR,-43.3002,-65.1023,61.03,52,95,12.93,overcast clouds
157,Kavieng,PG,-2.5744,150.7967,83.89,72,100,7.2,overcast clouds
158,Elizabeth City,US,36.2946,-76.2511,34.02,61,0,12.66,clear sky
159,Pui,RO,45.5167,23.1,27.75,86,16,1.92,few clouds
160,Tiksi,RU,71.6872,128.8694,-23.01,98,98,6.11,overcast clouds
161,Clyde,US,41.3042,-82.9752,16.18,81,18,7.96,few clouds
162,Shahdadkot,PK,27.8477,67.9055,54.21,35,0,8.21,clear sky
163,Batsfjord,NO,70.6345,29.7185,22.71,86,60,22.21,broken clouds
164,Dingle,PH,10.9995,122.6711,81.64,69,98,19.26,overcast clouds
165,Klaksvik,FO,62.2266,-6.589,34.72,85,100,13.69,snow
166,Nizhniy Tsasuchey,RU,50.5167,115.1333,3.33,85,5,5.82,clear sky
167,Vila Velha,BR,-20.3297,-40.2925,76.95,86,0,1.01,clear sky
168,Jalu,LY,29.0331,21.5482,53.98,51,0,6.4,clear sky
169,Touros,BR,-5.1989,-35.4608,81.5,71,22,11.32,few clouds
170,Kamina,CD,-8.7386,24.9906,61.45,96,100,3.65,overcast clouds
171,Bonfim,BR,3.0833,-59.95,78.08,75,100,5.14,overcast clouds
172,Dicabisagan,PH,17.0818,122.4157,73.99,88,100,9.17,overcast clouds
173,Teya,RU,60.3778,92.6267,3.13,99,100,2.86,overcast clouds
174,Yellowknife,CA,62.456,-114.3525,-15.59,86,20,5.75,few clouds
175,Bengkulu,ID,-3.8004,102.2655,74.35,95,100,12.26,overcast clouds
176,Taltal,CL,-25.4,-70.4833,68.52,73,22,4.34,few clouds
177,Beringovskiy,RU,63.05,179.3167,-8.72,93,80,13.73,broken clouds
178,Zhelyabovka,UA,45.3988,34.7578,36.72,87,100,11.68,overcast clouds
179,Port Hardy,CA,50.6996,-127.4199,44.78,81,75,8.05,broken clouds
180,Goderich,CA,43.7501,-81.7165,15.91,73,91,9.22,overcast clouds
181,Bershet,RU,57.7309,56.3783,16.86,94,97,7.29,overcast clouds
182,Namibe,AO,-15.1961,12.1522,72.23,67,85,8.86,overcast clouds
183,Butaritari,KI,3.0707,172.7902,82.78,74,90,17.6,overcast clouds
184,Galveston,US,29.3669,-94.9669,45.18,67,0,4.61,clear sky
185,Airai,TL,-8.9266,125.4092,73.17,63,59,2.46,broken clouds
186,Padang,ID,-0.9492,100.3543,75.25,89,100,3.6,light rain
187,Hilo,US,19.7297,-155.09,78.53,78,75,11.5,broken clouds
188,New Norfolk,AU,-42.7826,147.0587,72.72,39,0,1.99,clear sky
189,Broome,US,42.2506,-75.833,8.98,66,0,5.75,clear sky
190,Da Lat,VN,11.9465,108.4419,63.63,79,94,7.0,overcast clouds
191,La Ronge,CA,55.1001,-105.2842,-3.75,71,100,2.3,overcast clouds
192,Omsukchan,RU,62.5333,155.8,-8.84,75,16,2.75,few clouds
193,Gold Coast,AU,-28.0,153.4333,81.34,84,75,11.99,light intensity shower rain
194,Waddan,LY,29.1614,16.139,54.77,26,77,5.59,broken clouds
195,Udachnyy,RU,66.4167,112.4,-29.09,100,90,1.72,overcast clouds
196,Varkkallai,IN,8.7341,76.7067,78.58,81,74,4.36,broken clouds
197,Helena,US,46.5927,-112.0361,38.39,52,75,14.97,broken clouds
198,Port-Gentil,GA,-0.7193,8.7815,78.89,82,15,10.49,few clouds
199,Alpine,US,32.835,-116.7664,59.68,30,0,2.42,clear sky
200,Dikson,RU,73.5069,80.5464,-20.74,100,98,3.74,overcast clouds
201,Carutapera,BR,-1.195,-46.02,75.49,92,100,5.23,overcast clouds
202,Provideniya,RU,64.3833,-173.3,-1.66,79,0,11.81,clear sky
203,Kodinsk,RU,58.6881,99.1844,14.76,92,100,8.7,overcast clouds
204,Boueni,YT,-12.9025,45.0761,82.38,72,62,14.99,broken clouds
205,Berdigestyakh,RU,62.0989,126.6992,-12.33,99,98,2.15,overcast clouds
206,Kruisfontein,ZA,-34.0033,24.7314,66.88,91,22,11.14,few clouds
207,Saldanha,ZA,-33.0117,17.9442,68.05,71,72,2.91,broken clouds
208,Terrasini,IT,38.146,13.0844,54.46,81,0,2.3,clear sky
209,Bull Savanna,JM,17.8868,-77.5902,70.74,70,6,2.64,clear sky
210,Aswan,EG,24.0934,32.907,51.1,53,0,6.91,clear sky
211,Shenjiamen,CN,29.9576,122.298,42.28,57,82,7.74,broken clouds
212,Ahuimanu,US,21.4447,-157.8378,83.91,68,20,5.01,few clouds
213,Lata,PT,40.1629,-8.3327,50.05,74,0,5.32,clear sky
214,Kavaratti,IN,10.5669,72.642,77.95,60,9,5.01,clear sky
215,Laguna,US,38.421,-121.4238,62.69,55,0,0.0,clear sky
216,Vanimo,PG,-2.6741,141.3028,85.48,67,100,5.5,overcast clouds
217,Khani,GE,41.9563,42.9566,22.57,87,99,4.9,light snow
218,Port Blair,IN,11.6667,92.75,82.44,78,40,4.61,mist
219,Ponta Do Sol,PT,32.6667,-17.1,68.13,47,50,12.95,scattered clouds
