City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Ponta Do Sol,PT,2022-02-05 02:12:01,32.6667,-17.1,66.7,66,92,3.76
115,Mandera,KE,2022-02-05 02:20:22,3.9366,41.867,73.96,25,44,4.76
116,Guipavas,FR,2022-02-05 02:20:22,48.4352,-4.3972,44.65,91,20,4.61
117,Bluff,NZ,2022-02-05 02:20:22,-46.6,168.3333,59.81,56,60,5.53
118,Rio Grande,BR,2022-02-05 02:13:16,-32.035,-52.0986,73.51,93,0,8.57
119,Motygino,RU,2022-02-05 02:20:23,58.1831,94.7592,20.61,93,100,8.7
120,Nagato,JP,2022-02-05 02:20:23,34.3833,131.2,41.2,53,100,21.52
121,Lombardia,MX,2022-02-05 02:20:24,19.15,-102.0333,72.82,40,0,3.89
122,Hithadhoo,MV,2022-02-05 02:20:24,-0.6,73.0833,81.66,73,99,11.43
123,Torbay,CA,2022-02-05 02:20:25,47.6666,-52.7314,33.76,97,100,10.36
124,Prince Rupert,CA,2022-02-05 02:16:18,54.3161,-130.3201,42.89,93,100,18.41
125,Veraval,IN,2022-02-05 02:20:26,20.9,70.3667,63.75,64,43,2.28
126,Geraldton,AU,2022-02-05 02:20:26,-28.7667,114.6,106.21,8,0,18.41
127,Csobanka,HU,2022-02-05 02:20:26,47.6464,18.9619,37.33,84,98,3.58
128,Muros,ES,2022-02-05 02:20:27,42.7762,-9.0603,52.23,82,99,14.05
129,Dombarovskiy,RU,2022-02-05 02:20:27,50.7587,59.5386,20.35,87,100,16.13
130,Kitimat,CA,2022-02-05 02:20:28,54.0524,-128.6534,42.91,41,100,7.14
131,Sao Sebastiao Do Cai,BR,2022-02-05 02:20:28,-29.5867,-51.3756,78.33,98,53,2.15
132,Magdagachi,RU,2022-02-05 02:20:29,53.45,125.8,5.13,57,100,7.4
133,Kotelnikovo,RU,2022-02-05 02:20:29,47.6317,43.1461,26.73,93,78,8.63
134,Chokurdakh,RU,2022-02-05 02:19:57,70.6333,147.9167,-30.32,100,14,1.57
135,Pula,HR,2022-02-05 02:18:05,44.8683,13.8481,49.06,93,100,3.44
136,Avarua,CK,2022-02-05 02:12:04,-21.2078,-159.775,82.45,78,75,11.5
